movie_id,title,release_year,runtime_minutes,rating,director_name,company_name
1274,Үндэсний баялаг,2015,90,6.6,Б.Бодьбаатар,Сүлд интертайнмент Могжоохон интертайнмент
1275,247 градус,2015,87,7.1,Б.Тамир,Ф студи МИМ фильм
1276,Аав,2015,90,0.5,Г.Эрдэнэбилэг,Блек зебра Хаанаас үзэх вэ?
1277,Аюултай харилцаа,2015,87,7.1,Ц.Хүсэлбаатар,Хас фильм студи Хаанаас үзэх вэ?
1278,Хамтран амьдрагч,2015,87,6.3,Д.Хүрэлхүү,Хүрэлхүү
1279,Надад итгээч,2015,87,7,Г.Бандицэрэн,Фокус 2200 интертайнмент Хаанаас үзэх вэ?
1281,Хүүхэлдэй,2015,87,6.8,Б.Цогт-Эрдэнэ,Кино цамхаг студи
1282,Танхай тээгч,2015,97,6.8,И.Одончимэг,Аврора фильм Хаанаас үзэх вэ?
1285,Хуримын сюрприз,2015,87,6.8,Д.Отгонбаяр,Оюунлаг продакшн
1286,Зангараг,2015,95,7.2,А.Батбаатар,Скай пирамид студи Хаанаас үзэх вэ?
1295,Le dernier loup,2015,121,7.9,.Annaud,China Film Co. Reperage Beijing Forbidden City Film
1306,Эр хүн болгож өгөөч,2015,87,7.3,Э.Батхүү,Майнд медиа групп
1312,Мөнх тэнгэрийн хүчин дор,1992,87,8.8,Б.Балжинням,Чингис фильм
1313,Дэв,2010,92,7.1,Б.Жаргалсайхан,Синебокс (Cinebox)
1345,Амьдрал нулимсанд дургүй,2015,96,6.3,Ц.Энхцогт,Дээд гэгээн пикчерс
1353,Made in Ulaanbaatar,2015,87,6.7,Л.Лхагважаргал,Нүдэн фильм Хаанаас үзэх вэ?
1356,Муушгийг таван гар тоглох албагүй,2013,110,6,,Хос чандмань уран бүтээлийн нэгдэл
1357,Алсын удирдлага,2014,90,6.3,С.Бямба,Гуру медиа ХХК
1358,Ноход,2015,87,6.8,Л.Таванбаяр,Жаалхүү фильм
1400,Бидний найзын дурлал,2001,87,6.9,А.Төгсбаяр,[]
1404,Тайга,2015,87,7.2,Д.Ууганбаяр,35фильм
1434,Хожлын нүүдэл,2015,87,6.7,Г.Анхбаяр,Прайм пикчерс Амжилтаа ахиулъя ТББ Ти Жэй интертайнмент
1439,Single Ladies 2,2015,87,4.2,Г.Ундармаа,U film
1445,Жаужүрек мын бала,2012,87,6.3,А.Сатаев,Sataifilm
1449,Дүр эсгэгчид,2015,87,6.5,Ш.Равдандорж,Хас форм пикчерс Улаан театр
1450,Алтан өндөг,2018,87,7.4,И.Одончимэг,Тэнгэр продакшн
1451,Маш нууц,2015,87,8.8,О.Бат-Өлзий,Жийж продакшн Ред пойнт медиа
1454,Элэг нэгтэн,2015,120,7.3,Ш.Доржсүрэн,ME Monwichit Production (Thai) Spear Production (Thai) Хаанаас үзэх вэ?
1455,Такси,2015,87,2.6,Г.Дарханбат,Твинс фильмс студи (Twins Film)
1457,Босуул,2015,87,7.6,Ж.Сэнгэдорж,Коктайл фильмс Блек зебра Сан пикчерс Неско фильм сөүнд
1458,High School,2015,87,3.3,Ө.Бат-Эрдэнэ,ЛАМСАН продакшн
1459,Төмөр нар,2015,87,6.9,Л.Ган-Эрдэнэ,[]
1462,Хаалттай хот,2016,87,6.9,,[]
1466,Атганд үлдсэн эрдэнэ,2016,87,5.3,У.Уранчимэг,[]
1469,Бид 3-ын болзоо,2015,87,6.2,М.Энхдалай,Ай Си креатив дивишн Хаанаас үзэх вэ?
1475,Дурласны маргааш,2005,90,6.6,Ш.Доржсүрэн,[]
1477,Хүүхэд том болох лүд юм аа,2000,87,6.7,,[]
1494,Анхны алхам,1969,87,7.2,Г.Жигжидсүрэн,[]
1501,Тэр жилийн тэр өдөр,2016,87,7,Б.Нагнайдорж,Хасу продакшн
1505,Бохир ертөнц,2015,87,7.5,Л.Ариунболд,Борн фильм студи Морьтон интертайнмент
1509,Сүүлчийн төрсөн өдөр,2015,87,6.3,Г.Гантулга,Икс-МАСС продакшн
1514,Говийн домог,2018,87,8.6,Ц.Даваажаргал,Ю Би Эс телевиз Хаанаас үзэх вэ?
1522,Тоглож болохгүй нас,2015,87,7.4,Ө.Алтансэрээ,Гөлдэн пикчерс продакшн
1527,Том толгойтын романс,2015,87,6.8,Б.Барслхагва,Бродерхүүд
1530,Уулын эзэн,2015,45,7.1,У.Пүрэвжав,Лоожикфильм (Logicfilm) Гэрэлт медиа групп
1531,Оргилд хүрэх зам,2015,20,7.6,О.Сэргэлэн,ЗОС фильм медиа
1534,Бүү март,2016,87,7.4,А.Мөнхсүх,Хүмүүн фильм
1545,Қазақ Хандығы: Алмас Қылыш,2017,87,6.6,,[]
1550,Монгол төрийн товчоон,2012,87,6.9,,Биг лайн фильм
1556,Хүсэл,2015,87,7.1,Р.Эрхэмбүрэн,[]
1566,Шуугиан таригч,2016,87,6.8,Д.Галбаяр,Гөү адвенчер студи Ред пойнт медиа
1571,Алиа салбадай,1993,87,6.3,,[]
1572,Гэрлэж амжаагүй явна,1981,87,6.9,Ж.Бунтар,[]
1573,Ороолон,2016,87,3.6,Ө.Мөнгөнтулга,Кино цамхаг студи
1576,Ирж яваа цаг,1986,87,6.9,Ж.Бунтар,[]
1577,Би ээж болмоор байна,2016,87,7.3,Г.Дарханбат,Твинс фильмс студи (Twins Film)
1579,Зүрхэнд дуссан нулимс,2016,87,7.3,Л.Ариунболд,35фильм Морьтон интертайнмент Маршал креатив агентлаг
1580,Сайн эцэг,2015,87,6.7,Л.Таванбаяр,Жаалхүү фильм Ю Би Эс телевиз
1586,Сөрж болдоггүй тавилан,2016,87,7.2,Л.Гаваасүрэн,Тунгалаг продакшн
1598,Эхнэрийн эзгүйд,2016,87,7.3,Г.Содбилэг,Кроп интертайнмент Грийн фильм
